G4_1a	HH_G4_1a
Because his dots are spread out in every direction. 	0
it can go in all directions	0
Because the gas in a balloon is expanding just like charlie's drawing 	2
well air is a gas	0
Since the teacher also told Charlie that once you blow into a balloon it could go into all types of directions.	0
He thinks that the particles will spread out and if it happens with balloons it should happen with this too.	2
His particles spread out more instead of staying impact like Sam's.	0
"the particles spread out, making the balloon bigger"	1
Because of the gas inside the balloon goes everywhere	1
It shows that the particles go everywhere and his dots are everywhere. 	0
The particals spread out and get bigger when they spread out and expands.	0
"This supports his claim because the air in the balloon spreads out to make the balloon bigger, like his diagram."	2
gas expands	0
Because there is no liquid to make the gas rise so it can bounce around.	0
He could also use this as an example and he could tell people how the example and gas in a room are close to the same thing.	0
There is partials all over the balloon so when you blow into it it gets bigger in all directions and his particals on his notebook are everywhere.	1
"This evidence could be used to support Charlie's claim, because he thinks that gas particles float around, and the teacher tells him that when you blow up a balloon, the gas will go in different directions, so he could use that in an argument. "	1
the gas in the balloon is spreading out	1
if the balloon grows bigger in all directions as you put more gas into it then the gas in his box must spread out 	1
The water will expand with air	0
When blowing a air balloon it go's every way to become bigger because it's trapped in one space.	0
"The gas particles spread out, making the ballon expand."	1
The gas is expanding in all directions and not just going to the top.	0
that means the gas from your mouth will act like that.	0
Charlie is not correct because gas bubbles do not stay stationary they move around and they will float to the top	0
This supports charleis findings because it shows all the gas particles in all directions	0
"Charlie could say that after each minute the particles in the balloon spread out, so the gas particles do also."	2
"Charlie claimed that the gas would separate out. This is similar to how a balloon works. There is a fact (the air in the balloon spreads out) that supports his evidence, because we know this fact is true. "	1
This shows how gas particles want to spread out and get as far away from each other as possible.	0
"Similar to Sam, Charlie will take this information and use it as an example of when gas particles spread out."	0
The particles are all spreading out and blowing up the balloon in all the different directions.  	1
This evidence supports Charlie's claim because air is a type of gas-particle and if it is blown into a balloon it will expand on all directions which is what Charlie claimed. Charlie claimed that the gas particles will be dispersed in all directions.	1
"Charlies claim is that the particles spread out, ""When you blow air into a balloon, the balloon grows bigger in all directions"" is an example of particles spreading out into multiple directions. "	2
"This could help Charlies claim because he believe that the gas particles will scatter in every direction, the balloon particles go in different directions; this would support his claim. "	1
"Charlie could use this to support Charlie's claim. As an example, Charlie could use this information to justify Charlie's claim."	0
Charlie's claim is that gas/air evenly disperses and that claim is represented in his illustration. If a balloon grows in all directions when the air is added into it then the air within the balloon is constantly evenly in the space of the balloon. The balloon is an example of his claim.	2
"This evidence can support Charlie's claim because the when you blow air into the balloon, the balloon grows bigger in all directions which mean that the gas particles in the balloon move into all directions as you can see in Charlies' drawing. "	2
This evidence could be used to support Charlie's claim because gas expands a balloon in all directions which means that the gas particles could spread out in all directions. 	1
"This evidence could be used to support Charlie's claim because the balloon expands on all sides when you blow into it, just like Charlie's drawing of the air particles"	2
"Because balloons trap air and grow in all directions. Charlie isn't providing the most sufficient claim either, but it's good they can both think of examples. "	0
Charlie's prediction was that the gas particles   XXX	0
"The evidence that when the air is blown into a balloon, it swells is useful to Charlie's claim because  his particles spread out evenly across the box"	1
"Charlie used this evidence to support this question because he knew that the air that was blown into a balloon spreads evenly, and therefore, so would the gas within the box."	2
"since the balloon inflates in all directions, the air flows freely in those, so why cant the particles float freely in the box? "	2
it supports Charlie's claim because it is an example of gas moving in all directions	0
Charlie could think that gas spreads everywhere.	0
It doesn' t support Charlie's claim as much because you are not blowing into the box. But now you know that there are cases where that happens 	0
"When you blow ""gas"" into an balloon it grows bigger in all directions, that would mean that the gas particles are spreading out. "	1
"The evidence supports Charlie's claim because he said that the gas expanded. Like in a balloon, the gas in his box could expand and go in all different directions after one minute. "	2
He is thinking that in a ballon when you but air in it expands in all directions so should the air in the box 	2
"Since the gas molecules spread out to every corner of the balloon, maybe the gas molecules do the same when they are not in the balloon."	2
"When a balloon is being blown into it inflates in every direction so, so would gas particles."	1
"It could suppot his claim because it is saying that the air, just like in a ballon, spreads out to all different sides and directions in the box, just like charlies drawing. "	2
"Gas particles in a balloon move in all different directions, thats why the balloon moves out and up. "	1
This could support Charlie's claim because the air would be spreading out in all directions just like how Charlie thinks the gas particles would.	0
"This evidence can mean that gas particles will move around everywhere when put into one space, because of the fact that when it is put into a balloon it does that. He could say that although a balloon is not the same thing as a box, it might not matter what type of space the gas in in, and it might always spread out everywhere."	1
Because a ballon separates with air inside of it the gas will also separate because there is air in the box.	2
"Gas particles are also like balloons. as the gas particles expand, so does the balloon. "	1
The balloon is exactly what he's talking about so it helps him because it's evidence of his claim	0
because air goes into the balloon everywhere that's what makes it blow up and he shows that they are all around.  	1
"The ballon evidence could show that when gas particles are blown into a ballon they go out in every direction, like in this picture. It would prove that the gas inflates in ever direction."	2
If in a balloon the gas makes the balloon grow in all directions then Charlie's claim is supported because he thinks that the gas will rise everywhere. 	2
It goes all over the place which is what he showcased.	0
"Because Charlie thinks that gas particles go in all directions like when you blow air into a balloon, the balloon grows bigger in all directions."	2
Because balloons spread out when you blow into them and those are particles so why can't the box also be like that.	2
the balloon is holding air that is spreading out just like in Charlie's drawing	2
"Charlie's diagram shows particles everywhere or "" in all directions"" as his teacher mentioned. "	0
 the balloon gets bigger when you blow air into it which means it stretches in all directions which means the air is cause pressure across the whole area of the ballon. 	1
"He can make a diagram to show that when there is air going in, the balloon gets bigger, so he can make a drawing. He can also put a go-pro in the ballon and show that when air goes in, it gets bigger and it doesn't go up, like helium balloons."	0
"This evidence would support Charlie's claim, because the Co2 that you blow into a balloon spreads out because it is the same weight, or a bit heavier than the air it is in, so it doesn't go up."	1
"This could help Charlie because he could claim if you blow helium gas into a balloon the balloon stretches and spreads out, therefore the gas particles must be the ones pushing the balloon out by spreading out, "	1
The air in a balloon spreads out to form an oval shape.	1
This could support Charlie's claim because if a balloon blows up it means that the gas is expanding outwards. In his drawing that is what is being shown. 	2
Air is pushing on the sides of the balloon which is expanding the balloon.	1
This could help Charlie's claim by saying gas will expand in every way no matter what substance it is in.	0
This could support his claim because Charlie said that all the particles would separate and that's what happens with balloons 	2
The balloon gets bigger everywhere because the air goes everywhere so the gas particles could go everywhere if the air goes everywhere. 	2
"When thinking about how the particles look Charlie probably thought that when there is air somewhere, it would spread out in all directions, like a ballon. Another example is the oxygen all around us. It does not clump up in one place in the sky. "	2
This supports Charlie's claim because it's saying that air moves in all directions when you're blowing a balloon if the air was in a ballon then Charlie's claim would be correct.	1
It could help Charlie's claim because in his graph his particles are everywhere 	0
This evidence could support Charlie's claim because it shows how Charlie's teacher just told him that gas can disperse in some cases.	0
"When gas particles are placed in a balloon, they spread out and push on the side of the balloon in all directions, not just up."	1
The gas is spreading.	0
The gas is spreading out in the balloon. That is what is happening in the drawing.	2
"Because when you blow air into a balloon and it grows in all directions, then the particles would also grow in all directions when contained in a box."	2
