review,label
Sam might have this information as evidence because the teacher used he word gas and she explained that it goes up to the top.,0
He could tell them how gas floats up and how it tries to get out of the room from the roof.,0
Sam can use the soda one saying that If in soda gas floats to the top creating bubbles why would my box not do the same?,3
"Sam could say that they might rise to the top like gas bubbles, but no air is entering the box so the balloon statement won't help.",0
"Sam might say that not all of the bubbles in soda go to the top because the rest of the drink is still super bubbly. In a balloon, the particles spread out and blow up the balloon in every direction.",0
"Sam might use the evidence of soda bubbles to support his claim, because they float to the top, just like his particles in the box.",3
"I think that Sam might use any of this evidence to support his claim because he could argue that a balloon only expands outward because of the force of the person blowing into it. However, the bubbles in a soda go up on their own.",0
"Sam could use the soda data because it just shows what gas particles do already, rise to the top. The ballon evidence because balloons try to stay up as long as they can, if gas particles rise, that may be why the fall so slowly.",0
In soda they float all the way to the top from the bottom making him correct because that is what his drawing showcased.,3
When you blow into a ballon it being cramped into a space that it needs to stretch out to fit but our experiment is using a box,0
"If Sam takes a bottle of soda he could show that the gas particles are at the top. He could say that his drawing is like a bottle of soda, so it would look the same.",0
He uses it by saying gas bubbles go up so the gas particles will go up.,0
He could use the one about soda.,0
Sam might say that gas bubbles float to the top and that you need to blow into the balloon for it to expand.,0
"Like I said in the last question, the particles being the gas, floating to the top would be exactly Sam's argument.",0
"he could use it too explain that there kind of the same thing; they both float to the top, and there both gas.",0
Sam could use this evidence to prove his claim because he can say that the gas is in a box so it would make seance that the gas would flout to the top of the box. Just like a soda's gas would in a soda bottle.,3
He might use Gas bubbles in soda float to the top and the one he drew is on top.,3
Sam would use the first piece of evidence to explain why he drew the gas particles on the top.,0
"because the gas takes the bubbles to the top, and the gas is going to the top.",0
it might go like soda,0
"Charlie explains the balloon as a case, but if you insert helium gas into the balloon the balloon will be floating in the air.That is like air going up.
Then particles should float above in space.Like a gas bubbles in soda.",3
By giving an example of something related to this with gas.,0
Yes he can because of the subtance.,0
use soda for an example but don't drink it soda is gross and bad for your teeth,0
The gas in the bubbles is moving up and not spreading around so this means that the gas in the box should go up and not spread out like Charlies claim.,3
to escape,0
"Since Gas bubbles float at the top in soda, they should do that everywhere. Meaning that after a minute the Gas bubbles will just rise.",3
they go to the top because there trying to come out just like a soda the particles inside want to come out that's why when you open a soda the bubbles jump around(out).,3
he could say his bubbles are floating up like in a soda.,3
